fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.58471,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.542,0.01,0.00978,0.937,0.00048,2.89424,0.79448,7.42939,0.52265,1.58541,0.015,0.71826,0.3969,0.0,0.09819,0.44904,0.0,0.0,0.0,0.50106,0.0,1.0,0.0,0.0
0.5112,0.00893,0.01137,0.95784,0.0005,2.90238,0.76003,6.67923,0.50656,1.5,0.01689,0.57764,0.36775,0.0,0.1,0.5,0.0,0.0,0.0,0.43621,0.0,1.0,0.0,0.0
0.5886,0.00784,0.00822,0.937,0.00054,2.89424,0.80525,8.13988,0.45331,1.58541,0.015,0.49398,0.40206,0.0,0.09819,0.36985,0.0,0.0,0.0,0.45231,0.0,0.87703,0.0,0.0
0.51111,0.00929,0.00653,0.95687,0.00062,2.05429,0.94335,9.50431,0.45331,1.58541,0.01539,0.53698,0.40985,0.0,0.07743,0.39205,0.0,0.0,0.0,0.47314,0.0,0.80294,0.0,0.0
0.57618,0.00917,0.0108,0.90107,0.00048,3.70737,0.73418,7.29734,0.39393,1.67599,0.01667,0.71826,0.36144,0.0,0.08893,0.49504,0.0,0.0,0.0,0.37676,0.0,0.7649,0.0,0.0
0.60733,0.00817,0.01,0.937,0.00033,2.81292,0.88295,7.5,0.55367,1.15342,0.0131,0.70436,0.41724,0.0,0.07133,0.5,0.0,0.0,0.0,0.54362,0.0,1.0,0.0,0.0
0.50727,0.0096,0.01172,0.95363,0.0006,3.46358,0.77192,6.89362,0.48681,1.46331,0.0142,0.7,0.38881,0.0,0.0989,0.5234,0.0,0.0,0.0,0.42101,0.0,0.89866,0.0,0.0
0.63484,0.00631,0.01076,0.937,0.00037,2.87156,0.80525,9.32023,0.45331,1.45672,0.01376,0.48419,0.40206,0.0,0.08091,0.32493,0.0,0.0,0.0,0.5598,0.0,0.80952,0.0,0.0
0.50765,0.00826,0.00688,0.94407,0.00048,3.23656,0.76075,10.12754,0.33454,1.90926,0.015,0.49398,0.47246,0.0,0.09819,0.38402,0.0,0.0,0.0,0.45231,0.0,0.96342,0.0,0.0
0.55324,0.0063,0.01076,0.96682,0.00034,2.87156,0.76475,9.03863,0.44194,1.4319,0.01401,0.4795,0.40206,0.0,0.08733,0.29709,0.0,0.0,0.0,0.60645,0.0,0.86906,0.0,0.0
0.62515,0.00746,0.00965,0.96526,0.00034,2.22305,0.82272,6.64158,0.56663,1.2377,0.01481,0.9,0.38566,0.0,0.07844,0.5,0.0,0.0,0.0,0.51711,0.0,0.97835,0.0,0.0
0.58522,0.00648,0.01059,0.91574,0.00041,2.60724,0.83927,8.88331,0.40593,1.36625,0.0144,0.41787,0.40486,0.0,0.07789,0.33248,0.0,0.0,0.0,0.63644,0.0,0.74566,0.0,0.0
0.63967,0.00631,0.01236,0.90756,0.00037,3.49113,0.7082,9.32023,0.47738,1.53073,0.01376,0.59249,0.39395,0.0,0.08,0.40593,0.0,0.0,0.0,0.65182,0.0,0.86409,0.0,0.0
